group,CC24_326a,CC24_326b,CC24_326c,CC24_326d,CC24_321a,CC24_321b,CC24_321c,CC24_323a,CC24_323b,CC24_323c,CC24_323d,CC24_340f,CC24_324a,CC24_324c,CC24_340c,CC24_444a,CC24_444b,CC24_440a,CC24_440b,CC24_440c,CC24_440d,CC24_441a,CC24_441b,CC24_328c,CC24_328d,CC24_328e,CC24_443_1,CC24_341b,CC24_341c,CC24_420_5,CC24_420_6,newsint,pew_religimp,pew_churatd,pew_bornagain,CC24_330a,CC24_421_1,CC24_423,CC24_424,CC24_445a,CC4_423,CC4_424
1,1.021753908905507,1.0310770127221534,1.053802078275226,1.8374283771972424,1.044964552782365,1.938331552879479,1.0060211712149172,1.077983878799651,1.4138098475284062,1.9481402350199082,1.011653879770807,1.82121006118287,1.0370010682723125,1.9722249198795767,1.0250558415072348,1.7837234145867726,1.7907157424492568,1.2419151209090034,4.678644265319995,4.757696416431972,4.700301058560745,4.541322715353988,1.30484607167136,1.7207924638244136,1.9709624162377388,1.023016412547344,2.060697290472953,1.064970379722247,1.0651646110517623,1.2048169369719337,1.263474798484997,1.3390307856657284,2.99669806739827,4.958920073807905,1.9129843643779745,1.9937845974555684,1.9069631931630622,2.278236379528018,1.9827134116733036,1.7867340001942327,2.2745459842672617,1.9836845683208706
2,1.1572332571629473,1.128669361926525,1.2895939532431009,1.3823167516259454,1.2140094920021123,1.7237651608366995,1.0349797855510627,1.2537352786078388,1.1371066971348218,1.4506064334680968,1.1693619265248731,1.3130602917911773,1.3115661803480407,1.874230972051327,1.3207945157321135,1.3650905255756718,1.2676217261381626,2.4180875373527844,3.6512568113904043,3.3718579715240002,3.0580945684654592,2.2742133942696454,3.055633679029703,1.373176305150288,1.6938829319739848,1.1059061346458077,2.596853577078574,1.2758832835296148,1.1870275971172441,1.3106872912638423,1.5291791175953595,2.071805238178932,1.788627175250484,3.8111267358059404,1.6461592547020572,4.156178590261913,1.9847952188433837,2.117771137282475,1.9647565477236775,1.22121638249253,2.113113025136228,1.9645807699068374
3,1.0856810920708688,1.06273598605867,1.112982863781586,1.769387162358408,1.134185303514376,1.8588440313679924,1.0255591054313098,1.1243101945977345,1.4522218995062444,1.8693000290444375,1.058379320360151,1.7095556200987512,1.0659308742375835,1.9590473424339245,1.0633168748184723,1.6616322974150453,1.71855939587569,1.4882370026139995,4.6015103107754864,4.4969503340110375,4.338367702584955,4.096137089747312,1.644786523380772,1.6950334011036885,1.8980540226546612,1.038338658146965,2.0760964275341274,1.13476619227418,1.1057217542840543,1.4092361312808601,1.4571594539645665,1.7383096137089757,3.008422887017139,5.109787975602673,1.8817891373801914,2.5259947720011646,2.9773453383676984,8,4.011908219575949,1.5977345338367694,4,2.852163810630264
4,1.1020854937204754,1.0894112224910706,1.1734070745477596,1.6995045512155782,1.1463302223758502,1.842262933517685,1.0199331720244267,1.193455467219726,1.2584399124323074,1.8336213849521836,1.0727042285977648,1.5328954948726834,1.1009332872450748,1.9580596842954257,1.0884894573107502,1.5905058186427006,1.598801705265582,1.874179052886275,4.131236317548107,4.0993201981795115,3.8603525751814733,3.6019126627491693,1.9900910243115586,1.5827860352575185,1.8987210508123091,1.066943196220763,2.4863463532665055,1.168222145408453,1.1337711717939851,1.266274916465031,1.3893305680377925,1.9266044475169994,2.8492913930176296,5.036064062680037,1.8626569881322739,3.1636133195068563,2.2068210623343703,2.700541537043439,2.562046318700311,1.488074662979608,2.7023850674040784,2.564581172946193
5,1.7483650838783058,1.6812624395791878,1.768268410577195,1.1754336081887975,1.7355700881433038,1.3187375604208127,1.1950526016491327,1.7341484219505257,1.098947967017344,1.1734432755189077,1.6343474552175148,1.1381859539380148,1.6536821154392944,1.8183110605629795,1.5803241398919512,1.218367927210691,1.160648279783907,3.8780210406596547,2.726471424509524,2.858402047199316,2.29201023599659,1.8023883992038698,4.03952232015923,1.3750355416548194,1.2860392379869214,1.4128518623827144,3.7236280921239704,1.695763434745521,1.6044924651691777,1.483935172021609,1.831674722775093,1.771964742678418,2.0688086437304523,4.3457492180835935,1.6897924367358548,5.688939437020187,3.363946545351151,6.619277793574067,8,1.147000284333239,3.720216093261302,4
6,1.622601530311945,1.543967039434963,1.6987639788110698,1.20988816951148,1.6366097704532092,1.421659799882284,1.0928781636256615,1.6221306650971148,1.0926427310182472,1.1891701000588581,1.4454384932313133,1.1484402589758678,1.4500294290759281,1.9339611536197763,1.3699823425544437,1.2177751618599166,1.1768098881695126,3.541848145968216,2.9294879340788658,3.2243672748675682,2.709829311359622,1.8653325485579775,3.878869923484399,1.368687463213655,1.467922307239554,1.3237198351971702,3.3928193054738087,1.6216597998822853,1.5020600353148876,1.3405532666274274,1.7123013537374925,2.0980576809888167,2.713713949381989,5.373866980576808,1.845085344320188,5.4820482636845105,2.381283107710409,2.734667451442024,2.928075338434373,1.1363154796939388,2.7339611536197754,2.6556798116539158
7,1.7139280125195633,1.6625978090766798,1.757433489827853,1.1621283255086092,1.745539906103286,1.3086071987480448,1.1862284820031295,1.6964006259780917,1.0841940532081382,1.1408450704225352,1.582159624413144,1.1223787167449137,1.676682316118935,1.8087636932707356,1.5896713615023477,1.1793427230046951,1.1264475743348992,3.964632237871672,2.709233176838813,2.9671361502347433,2.3596244131455384,1.6647887323943666,4.142097026604074,1.3474178403755872,1.2929577464788713,1.4128325508607227,3.67198748043818,1.715179968701097,1.6153364632237899,1.4181533646322368,1.8259780907668228,1.705164319248823,1.8748043818466342,3.9755868544600945,1.591862284820031,5.765571205007824,3.117370892018781,8,2.3499217527386542,1.099530516431925,4,2.3536776212832553
8,1.1425478166726808,1.1172861782749908,1.1999278238902926,1.6535546734031044,1.1955972573078317,1.8007939372067847,1.0360880548538431,1.197762540599062,1.3305665824612054,1.7466618549260196,1.1075424034644532,1.5983399494767225,1.1479610249007577,1.9169974738361601,1.1566221580656804,1.6142186936124139,1.6026705160591843,1.847347527968244,4.2594731143991345,4.15373511367737,3.9805124503789266,3.5950920245398783,2.051245037892458,1.6171057380007219,1.8217250090220145,1.0754240346445327,2.2858173944424394,1.2046192710212906,1.1728617827499102,1.2923132443161316,1.4215084806928906,1.740887766149409,2.651750270660409,4.74449657163479,1.8303861421869363,3.0710934680620725,2.461205341032121,2.573800072176109,8,1.5366293756766505,2.5795741609527236,4
9,1.7930699088145903,1.7454103343465066,1.8615197568389086,1.0978723404255313,1.7683890577507602,1.3294832826747718,1.124255319148936,1.7531914893617029,1.0370820668693008,1.056291793313069,1.586261398176293,1.0748936170212775,1.8768389057750763,1.7510030395136782,1.7314285714285722,1.1507598784194535,1.0830395136778121,4.065531914893618,2.431610942249236,2.962188449848026,2.3373860182370807,1.6616413373860206,4.188693009118544,1.296291793313071,1.2340425531914918,1.4680851063829823,3.730699088145899,1.7810334346504575,1.6813373860182375,1.2761094224924012,1.768267477203647,1.5131914893617022,1.271489361702128,2.786747720364744,1.4014589665653492,6.2049848024316105,2.321215805471124,2.655927051671732,2.2420668693009107,1.1017629179331312,2.6549544072948326,2.1787234042553183
