party,variable,value,value_label,respondents,total,pct
Disillusioned Left,educ,1,No HS,164.5677293139831,2732.070743914478,0.060235530020790184
Disillusioned Left,educ,2,HS grad,656.6181508461893,2732.070743914478,0.24033717000512028
Disillusioned Left,educ,3,Some college,605.6363424916216,2732.070743914478,0.2216766691860523
Disillusioned Left,educ,4,2-year,246.2229437004914,2732.070743914478,0.09012319474118234
Disillusioned Left,educ,5,4-year,660.6735208590585,2732.070743914478,0.24182152761990836
Disillusioned Left,educ,6,Post-grad,398.3520567031339,2732.070743914478,0.14580590842694646
Disillusioned Left,faminc_new,1,<10K,214.51860217922882,2732.0707439144767,0.07851868501467471
Disillusioned Left,faminc_new,2,$10-20K,245.74920100885842,2732.0707439144767,0.08994979414652786
Disillusioned Left,faminc_new,3,$20-30K,211.96881886687814,2732.0707439144767,0.0775854063585381
Disillusioned Left,faminc_new,4,$30-40K,224.60311206927744,2732.0707439144767,0.0822098448839831
Disillusioned Left,faminc_new,5,$40-50K,207.79038837745236,2732.0707439144767,0.07605600581181617
Disillusioned Left,faminc_new,6,$50-60K,221.06268043821703,2732.0707439144767,0.08091396642294892
Disillusioned Left,faminc_new,7,$60-70K,136.92212877824076,2732.0707439144767,0.05011661176169269
Disillusioned Left,faminc_new,8,$70-80K,170.81839578871396,2732.0707439144767,0.06252341604594305
Disillusioned Left,faminc_new,9,$80-100K,216.52624078438143,2732.0707439144767,0.07925352638348791
Disillusioned Left,faminc_new,10,$100-120K,203.08816214185032,2732.0707439144767,0.0743348841146288
Disillusioned Left,faminc_new,11,$120-150K,140.75247337581183,2732.0707439144767,0.05151860495901488
Disillusioned Left,faminc_new,12,$150-200K,130.80359774423866,2732.0707439144767,0.04787709031166042
Disillusioned Left,faminc_new,13,$200-250K,65.33876735363725,2732.0707439144767,0.02391547418718034
Disillusioned Left,faminc_new,14,$250-350K,45.35834302658151,2732.0707439144767,0.01660218467168703
Disillusioned Left,faminc_new,15,$350-500K,16.90402858542981,2732.0707439144767,0.006187258738845807
Disillusioned Left,faminc_new,16,>500K,12.229873251319423,2732.0707439144767,0.004476411629735698
Disillusioned Left,faminc_new,97,Prefer not to say,267.3502466258672,2732.0707439144767,0.0978562678954686
Disillusioned Left,gender4,1,Man,1136.2519669842954,2732.0707439144776,0.41589405015050507
Disillusioned Left,gender4,2,Woman,1509.2668318888987,2732.0707439144776,0.5524259703928601
Disillusioned Left,gender4,3,Non-binary,81.82303501476147,2732.0707439144776,0.029949090885372325
Disillusioned Left,gender4,4,Other,4.728910026521971,2732.0707439144776,0.0017308885712624142
Disillusioned Left,race,1,White,1701.9117880455788,2732.070743914477,0.6229384037131852
Disillusioned Left,race,2,Black,393.6798031435902,2732.070743914477,0.14409575741056055
Disillusioned Left,race,3,Hispanic,269.1310352098905,2732.070743914477,0.0985080769996032
Disillusioned Left,race,4,Asian,135.73250695015378,2732.070743914477,0.04968118312913008
Disillusioned Left,race,5,Native American,37.657383307354316,2732.070743914477,0.013783458349764136
Disillusioned Left,race,6,2+ races,152.31312552835533,2732.070743914477,0.05575006645330236
Disillusioned Left,race,7,Other,22.635098882179996,2732.070743914477,0.008284960750960902
Disillusioned Left,race,8,Middle Eastern,19.01000284737417,2732.070743914477,0.006958093193493545
Faith-Based Conservatives,educ,1,No HS,379.2473760677838,3321.1530019334195,0.11419147984058663
Faith-Based Conservatives,educ,2,HS grad,1000.0080171595905,3321.1530019334195,0.3011026642185508
Faith-Based Conservatives,educ,3,Some college,679.7793473872462,3321.1530019334195,0.20468173161293998
Faith-Based Conservatives,educ,4,2-year,286.7385209117269,3321.1530019334195,0.08633704040277614
Faith-Based Conservatives,educ,5,4-year,641.7741112954834,3321.1530019334195,0.19323834551490782
Faith-Based Conservatives,educ,6,Post-grad,333.60562911158917,3321.1530019334195,0.10044873841023874
Faith-Based Conservatives,faminc_new,1,<10K,221.27655445623893,3321.1530019334227,0.06662642592118517
Faith-Based Conservatives,faminc_new,2,$10-20K,250.0476284104313,3321.1530019334227,0.07528940348874774
Faith-Based Conservatives,faminc_new,3,$20-30K,316.0414410499566,3321.1530019334227,0.09516015698944667
Faith-Based Conservatives,faminc_new,4,$30-40K,252.9944844384095,3321.1530019334227,0.0761767025762221
Faith-Based Conservatives,faminc_new,5,$40-50K,205.72849673619694,3321.1530019334227,0.06194490185078232
Faith-Based Conservatives,faminc_new,6,$50-60K,263.97107569769224,3321.1530019334227,0.0794817569512818
Faith-Based Conservatives,faminc_new,7,$60-70K,185.51664686783437,3321.1530019334227,0.05585910879740714
