commonweight,age,party,gender4,educ,race,faminc_new
0.0209705667410681,50,Religious Moderates,Man,4-year,Hispanic,$120-150K
0.924673056952552,71,Religious Moderates,Man,HS grad,White,$50-60K
3.53613603130868,36,Nationalist Right,Woman,HS grad,White,$70-80K
1.87133084027525,40,Secular Moderates,Woman,HS grad,White,<10K
0.550311229312233,74,Nationalist Right,Woman,Some college,Black,$30-40K
0.990253829446753,45,Religious Moderates,Man,Post-grad,Asian,$150-200K
0.71079658062058,69,Disillusioned Left,Woman,HS grad,White,$120-150K
0.0222039869413188,40,Moderate Left,Man,Post-grad,White,$150-200K
0.497351617870059,38,Progressive Left,Man,4-year,White,$100-120K
0.601310148938392,61,Moderate Left,Man,4-year,White,$50-60K
0.112373302291168,31,Faith-Based Conservatives,Man,4-year,Native American,$50-60K
0.40606689897016,38,Progressive Left,Man,Post-grad,Asian,$120-150K
0.250416323632891,61,Progressive Left,Man,Post-grad,White,$20-30K
0.384676229838404,56,Secular Moderates,Man,Post-grad,Hispanic,$120-150K
0.0522478064988552,65,Progressive Left,Woman,No HS,White,$40-50K
0.202168453857965,55,Religious Moderates,Woman,HS grad,White,$30-40K
0.148601946365977,73,Nationalist Right,Woman,Post-grad,2+ races,$70-80K
1.78768889002206,33,Nationalist Right,Woman,4-year,White,$100-120K
1.13611182154473,79,Religious Moderates,Woman,HS grad,White,$40-50K
0.77183500196846,68,MAGA Right,Woman,HS grad,White,$50-60K
0.176117948415498,21,Religious Moderates,Woman,Some college,White,$10-20K
1.162162771543,72,Nationalist Right,Woman,HS grad,White,$80-100K
0.0671491080281511,24,Secular Moderates,Woman,Some college,White,$20-30K
0.957184811205241,22,Faith-Based Conservatives,Woman,Some college,White,$70-80K
0.00149665963738159,77,Religious Moderates,Woman,4-year,Hispanic,$50-60K
0.956415012231476,64,Traditional Right,Man,HS grad,White,$70-80K
7.62846692707561,73,Religious Moderates,Man,No HS,White,$10-20K
0.0392447557054716,30,Faith-Based Conservatives,Man,Post-grad,Asian,$70-80K
1.34928250492968,38,Progressive Left,Woman,4-year,White,$100-120K
0.411120735780609,30,Disillusioned Left,Woman,4-year,White,$60-70K
1.76869141226272,33,Progressive Left,Woman,Post-grad,Black,$60-70K
0.0578155394382203,59,Moderate Left,Woman,2-year,White,$100-120K
0.496216425511366,62,Disillusioned Left,Woman,HS grad,White,$30-40K
0.40594685850136,69,Nationalist Right,Man,HS grad,White,$30-40K
2.49266510754912,58,Progressive Left,Woman,Post-grad,Asian,$250-350K
1.1411195857535,57,Nationalist Right,Woman,Some college,White,$120-150K
0.703065765988379,72,Progressive Left,Woman,4-year,Hispanic,$100-120K
0.933584963292023,38,Religious Moderates,Woman,4-year,White,$100-120K
0.990593657807476,37,Faith-Based Conservatives,Man,4-year,White,$60-70K
0.954669728553527,75,Progressive Left,Man,4-year,White,Prefer not to say
