group,CC24_326a,CC24_326b,CC24_326c,CC24_326d,CC24_321a,CC24_321b,CC24_321c,CC24_323a,CC24_323b,CC24_323c,CC24_323d,CC24_340f,CC24_324a,CC24_324c,CC24_340c,CC24_444a,CC24_444b,CC24_440a,CC24_440b,CC24_441a,CC24_441b,CC24_328c,CC24_328d,CC24_328e,CC24_443_1,CC24_341b,CC24_341c,CC24_420_5,CC24_420_6,newsint,pew_religimp,pew_churatd,pew_bornagain
1,1.0306406685236764,1.0346046710949215,1.0458538675808864,1.8826869509320767,1.0677094493250472,1.934218984358259,1.0092136275980286,1.0815298907220905,1.5241054210413536,1.9652881937004496,1.014570387829441,1.8549389329333612,1.019927148060853,1.9807156631669165,1.0147846582386972,1.8017998714377548,1.8581529890722088,1.228305121062784,4.705699592886224,4.635954574673238,1.2800514248982233,1.7938718662952644,1.9710734947503754,1.016070280694236,1.922219841439897,1.0587100921362764,1.0603171202056998,1.2572316263124073,1.283908292264838,1.4363616884508272,3.8116563102635515,5.850439254338976,1.9877865866723805
2,1.1897527554364014,1.1575811736669643,1.291182603515044,1.4161453678879952,1.2195412570747715,1.7380101280905575,1.0393208221626458,1.2415847482871611,1.192433720583854,1.5503425677688414,1.1398570151921361,1.404974679773607,1.3818885910038732,1.8269288054810844,1.4033363121834965,1.3729520405123619,1.3372058385463221,2.0285969615728336,3.8418230563002704,2.927613941018768,2.2706285373845714,1.4069109323801021,1.705987488829312,1.102323503127793,2.44831694965743,1.3035448316949674,1.2126899016979453,1.3066726243669937,1.4979148048853144,2.017724158474824,1.2238605898123325,2.055555555555554,1.4244861483467384
3,1.1345187475840743,1.1091998453807497,1.2110552763819087,1.6180904522613055,1.187959025898726,1.7962891379976804,1.02899110939312,1.2165635871666014,1.206320061847698,1.7221685349826057,1.1021453420950904,1.4428875144955564,1.1225357557015854,1.9437572477773482,1.1108426749130256,1.5293776575183615,1.5253189022033244,1.9686896018554312,3.925396211828374,2.9762272902976434,2.1361615771163494,1.469172787011982,1.838906068805567,1.0883262466177035,2.7061267877850774,1.2074797062234228,1.1612872052570549,1.280827212988018,1.4119636644762272,2.0363355237727094,3.0064746810977963,5.387707769617314,1.910030923850019
4,1.8490262353130524,1.801223241590215,1.8931273136970874,1.06067922098825,1.8403347819089007,1.23949782713665,1.1867052953484625,1.8290680830516655,1.0286496056655399,1.0292934170288106,1.7091582166425252,1.0307419925961692,1.7745050700144864,1.895863511990987,1.6183808144213756,1.124738451633672,1.0719459198454855,4.727667793336553,2.2367616288427525,1.2443264123611801,4.765008852406243,1.283598905520682,1.205858683405761,1.5536777724126827,4.097376468694671,1.8075004023821006,1.7146306132303215,1.3436343151456618,1.8160309029454378,1.3940125543215842,2.2345082890713033,5.125221310156127,1.7431192660550454
5,1.4329062710721512,1.2730950775455154,1.3931220498988535,1.50236008091706,1.4619015509103177,1.592717464598786,1.133513149022252,1.3890761968981795,1.3573836817262308,1.5259608900876602,1.3122049898853674,1.5266351989211058,1.3297370195549567,1.80310182063385,1.428860418071477,1.3695212407282533,1.3358057990559677,2.8523263654753874,3.356035064059339,2.557653405259609,3.0613621038435603,1.539447066756575,1.5482130815913677,1.1881321645313554,2.7053270397842213,1.566419420094403,1.4200944032366825,1.7053270397842213,1.815913688469319,6.9089683074848285,2.239379635873229,4.876601483479433,1.7174645987862445
6,1.1796058722391214,1.1372834281179736,1.326676365560111,1.4129083454569502,1.2446766300753846,1.717233170215581,1.0279063615923816,1.2899087422298643,1.1211479962967872,1.4406824494114532,1.2001058061103027,1.2531411188996173,1.258828197328396,1.9170744610501251,1.2633249570162683,1.4058986906493853,1.258960454966274,3.043909535775687,3.8279328131199577,1.988361327866684,3.9403518053167588,1.4191244544372432,1.7127364105277056,1.1368866552043384,2.890226160560773,1.252083057796589,1.1675704271921703,1.3392408411585766,1.590794868403651,2.208173522020894,2.225234757307235,5.023938632456019,1.789049067583653
7,1.7107161710364251,1.6394509941932074,1.7858525426711258,1.1347879641034662,1.713707548829843,1.3505190920288577,1.113320429350695,1.6968150624670044,1.0673939820517333,1.1046982227696642,1.5248988210452237,1.1140242829491476,1.505366883688193,1.905155727608657,1.3885271863452389,1.1775470702093966,1.1353158543023047,3.2340313214851295,2.4773887031497455,1.9737814534576816,3.7035016716522957,1.3950378321309167,1.361252859405245,1.2718634524018995,3.159246876649654,1.6978708428646843,1.5692415977476681,1.3505190920288574,1.7422136195671298,2.0112616575752207,2.3418968854478286,5.148513109273274,1.7684321661094495
8,1.8028443948689337,1.7686837702175136,1.8706079196876761,1.087283881762409,1.7725878416062473,1.3066090351366428,1.1359453430005582,1.7682654768544346,1.0331846068042387,1.051589514779698,1.5835192414947035,1.072643614054658,1.883853876185165,1.7122141662018964,1.750697155605131,1.141522587841606,1.076826547685444,4.08686558839933,2.482571109871723,1.654907975460123,4.233407696597881,1.2622699386503073,1.2385666480758504,1.4903792526491935,3.7823480200780857,1.7930842163970988,1.6952035694366971,1.2866703848298944,1.7912716118237586,1.503067484662574,1.1291132180702732,1.883435582822085,1.3396542108198548
9,1.0528040786598696,1.0522578295702842,1.1023306627822285,1.7578295702840492,1.085032774945375,1.8896576839038597,1.01347414420976,1.1125273124544797,1.3062636562272392,1.8885651857246906,1.0351420247632919,1.7569191551347436,1.0810269482884194,1.961034231609614,1.0630007283321194,1.7019300801165334,1.6882738528769126,1.2266933721777127,4.7341587764020385,4.663146394756009,1.2778587035688274,1.7228696285506193,1.9426438455935902,1.0300436999271667,2.027130371449381,1.1067006554989076,1.1010560815731971,1.234522942461762,1.3315731973780034,1.4446467589220737,1.8348506919155123,3.9060451565914063,1.8075382374362712
