party,variable,people_1,people_2,people_3,people_4,people_5,people_6,people_7,people_8,people_NA,pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,pct_7,pct_8,pct_NA
Disillusioned Left,CC24_321a,2295.2794481567144,436.7912957577664,NA,NA,NA,NA,NA,NA,NA,0.8401244562459841,0.15987554375401594,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_321b,422.65262548455223,2309.418118429928,NA,NA,NA,NA,NA,NA,NA,0.15470046902188933,0.8452995309781107,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_321c,2658.1222837720716,73.94846014241013,NA,NA,NA,NA,NA,NA,NA,0.9729331825293596,0.02706681747064044,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_323a,2310.2054916357292,421.86525227875416,NA,NA,NA,NA,NA,NA,NA,0.845587727470662,0.1544122725293379,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_323b,1438.2351553511114,1293.8355885633669,NA,NA,NA,NA,NA,NA,NA,0.5264267620282868,0.4735732379717133,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_323c,395.8447687450037,2336.225975169481,NA,NA,NA,NA,NA,NA,NA,0.14488818403649428,0.8551118159635057,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_323d,2534.1975431296196,197.87320078486457,NA,NA,NA,NA,NA,NA,NA,0.9275739102929108,0.07242608970708929,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_324a,2511.5452547893974,220.52548912508615,NA,NA,NA,NA,NA,NA,NA,0.9192826578095414,0.0807173421904586,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_324c,125.6365918854791,2606.434152029005,NA,NA,NA,NA,NA,NA,NA,0.04598584870663643,0.9540141512933636,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_326a,2450.9601737562543,281.11057015823064,NA,NA,NA,NA,NA,NA,NA,0.8971071408804525,0.10289285911954758,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_326b,2568.706052553846,163.3646913606359,NA,NA,NA,NA,NA,NA,NA,0.9402048092186044,0.05979519078139563,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_326c,2444.19913030562,287.8716136088622,NA,NA,NA,NA,NA,NA,NA,0.8946324452798016,0.10536755472019832,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_326d,640.457851798669,2091.6128921158065,NA,NA,NA,NA,NA,NA,NA,0.23442213318423424,0.7655778668157659,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_328c,880.6740158622565,1851.396728052221,NA,NA,NA,NA,NA,NA,NA,0.3223467100271487,0.6776532899728513,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_328d,296.59443695315133,2435.4763069613346,NA,NA,NA,NA,NA,NA,NA,0.10856030635875612,0.8914396936412439,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_328e,2593.752388791601,138.31835512288143,NA,NA,NA,NA,NA,NA,NA,0.9493723376559788,0.05062766234402128,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_330a,974.1620271099246,595.0047500544066,349.00284133041237,594.8238350196523,93.23343031027684,27.814893640335494,8.591703312891495,89.43726313657902,NA,0.35656544739180385,0.21778526466774092,0.12774297375270935,0.2177190456523083,0.0341255549542224,0.01018088338389167,0.00314475872633568,0.03273607147098774,NA
Disillusioned Left,CC24_340c,2514.698139227733,217.37260468674856,NA,NA,NA,NA,NA,NA,NA,0.9204366851879906,0.07956331481200937,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_340f,802.6720062142598,1929.398737700216,NA,NA,NA,NA,NA,NA,NA,0.29379620128877104,0.706203798711229,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_341b,2302.367847441607,429.7028964728754,NA,NA,NA,NA,NA,NA,NA,0.8427189715237016,0.15728102847629838,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_341c,2387.2814129102317,344.78933100425235,NA,NA,NA,NA,NA,NA,NA,0.8737992668117219,0.12620073318827812,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_420_5,1602.2960092121075,1129.7747347023717,NA,NA,NA,NA,NA,NA,NA,0.5864767641105649,0.4135232358894352,NA,NA,NA,NA,NA,NA,NA
Disillusioned Left,CC24_420_6,1442.7172746339986,1289.3534692804794,NA,NA,NA,NA,NA,NA,NA,0.5280673195771244,0.4719326804228756,NA,NA,NA,NA,NA,NA,NA
