party,age,density
Disillusioned Left,18,0.010548826406572074
Disillusioned Left,18.16046966731898,0.010984576427004464
Disillusioned Left,18.320939334637966,0.011420740728696427
Disillusioned Left,18.481409001956948,0.01185671671779229
Disillusioned Left,18.64187866927593,0.01229126650127363
Disillusioned Left,18.80234833659491,0.012723528971425875
Disillusioned Left,18.962818003913895,0.013153121154505593
Disillusioned Left,19.123287671232877,0.013579546961689507
Disillusioned Left,19.283757338551858,0.014001587950059416
Disillusioned Left,19.444227005870843,0.014417923518866532
Disillusioned Left,19.604696673189824,0.014829193704906402
Disillusioned Left,19.765166340508806,0.015235057605297215
Disillusioned Left,19.925636007827787,0.015635102233506892
Disillusioned Left,20.086105675146772,0.016026360021890892
Disillusioned Left,20.246575342465754,0.016411002497810228
Disillusioned Left,20.407045009784735,0.016788844911468783
Disillusioned Left,20.567514677103716,0.01715971309978554
Disillusioned Left,20.7279843444227,0.017521299622839867
Disillusioned Left,20.888454011741683,0.017874513392579606
Disillusioned Left,21.048923679060664,0.018220251280945097
Disillusioned Left,21.20939334637965,0.018558444885711064
Disillusioned Left,21.36986301369863,0.018887937957220265
Disillusioned Left,21.53033268101761,0.019207562447480175
Disillusioned Left,21.690802348336593,0.019519444498001696
Disillusioned Left,21.851272015655578,0.019823549108484387
Disillusioned Left,22.01174168297456,0.020119841268372192
Disillusioned Left,22.17221135029354,0.020404940332146307
Disillusioned Left,22.332681017612526,0.020682012771113655
Disillusioned Left,22.493150684931507,0.02095103437324669
Disillusioned Left,22.65362035225049,0.021211927419539898
Disillusioned Left,22.81409001956947,0.021462312044745708
Disillusioned Left,22.974559686888455,0.021702913916144248
Disillusioned Left,23.135029354207436,0.02193485847233084
Disillusioned Left,23.295499021526417,0.02215798652329212
Disillusioned Left,23.455968688845402,0.02237098223742236
Disillusioned Left,23.616438356164384,0.022571770257295225
Disillusioned Left,23.776908023483365,0.022762853534673135
Disillusioned Left,23.937377690802347,0.022943997191892166
Disillusioned Left,24.09784735812133,0.023114961722531944
Disillusioned Left,24.258317025440313,0.02327107643998766
Disillusioned Left,24.418786692759294,0.023415846402577722
Disillusioned Left,24.57925636007828,0.02354928596415443
Disillusioned Left,24.73972602739726,0.02367113832706538
Disillusioned Left,24.900195694716242,0.0237780382496425
Disillusioned Left,25.060665362035223,0.023870429238399986
Disillusioned Left,25.22113502935421,0.023950193812353523
Disillusioned Left,25.38160469667319,0.024017143759664482
Disillusioned Left,25.54207436399217,0.024069734874888227
Disillusioned Left,25.702544031311156,0.024104807898287204
Disillusioned Left,25.863013698630137,0.024126517481676008
Disillusioned Left,26.02348336594912,0.02413483564717204
Disillusioned Left,26.1839530332681,0.024129750367461816
Disillusioned Left,26.344422700587085,0.024106277816510528
Disillusioned Left,26.504892367906066,0.024069096003036528
Disillusioned Left,26.665362035225048,0.024019013748703938
Disillusioned Left,26.82583170254403,0.023956253538782855
Disillusioned Left,26.986301369863014,0.023878351593009932
Disillusioned Left,27.146771037181995,0.023786504755264455
Disillusioned Left,27.307240704500977,0.023683555201105214
Disillusioned Left,27.467710371819962,0.023569978192339646
Disillusioned Left,27.628180039138943,0.023445516256924717
Disillusioned Left,27.788649706457925,0.02330890993010936
Disillusioned Left,27.949119373776906,0.02316427951901057
Disillusioned Left,28.10958904109589,0.02301231320838384
Disillusioned Left,28.270058708414872,0.022853712701108902
Disillusioned Left,28.430528375733854,0.02268773292409188
Disillusioned Left,28.59099804305284,0.022517422237091512
Disillusioned Left,28.75146771037182,0.022343943039745018
Disillusioned Left,28.9119373776908,0.022168105698522046
Disillusioned Left,29.072407045009783,0.021990768815016597
Disillusioned Left,29.232876712328768,0.021813662200444024
Disillusioned Left,29.39334637964775,0.02163785364837572
Disillusioned Left,29.55381604696673,0.021464135642578142
Disillusioned Left,29.714285714285715,0.021293566338315258
Disillusioned Left,29.874755381604697,0.02112880425440246
Disillusioned Left,30.035225048923678,0.020969448213651546
Disillusioned Left,30.19569471624266,0.02081614878494737
Disillusioned Left,30.356164383561644,0.020669540627908004
Disillusioned Left,30.516634050880626,0.020533140869703936
Disillusioned Left,30.677103718199607,0.020405960404045704
Disillusioned Left,30.83757338551859,0.020287769861004397
Disillusioned Left,30.998043052837573,0.020178965705254025
Disillusioned Left,31.158512720156555,0.020081906647756373
Disillusioned Left,31.318982387475536,0.019997569477338068
Disillusioned Left,31.47945205479452,0.01992380244748773
Disillusioned Left,31.639921722113503,0.01986073390944488
Disillusioned Left,31.800391389432484,0.01980894538840158
Disillusioned Left,31.960861056751465,0.019772148242748807
Disillusioned Left,32.12133072407045,0.019746114725997906
Disillusioned Left,32.28180039138943,0.019730732066301136
Disillusioned Left,32.44227005870842,0.019725871268986134
Disillusioned Left,32.602739726027394,0.019734541884765935
Disillusioned Left,32.76320939334638,0.019754083019588208
Disillusioned Left,32.923679060665364,0.019783136421738557
Disillusioned Left,33.08414872798434,0.019821408876757735
Disillusioned Left,33.24461839530333,0.01987001209924129
Disillusioned Left,33.40508806262231,0.019928909908649456
Disillusioned Left,33.56555772994129,0.01999549808924406
Disillusioned Left,33.726027397260275,0.020069403545302174
Disillusioned Left,33.88649706457925,0.02015039949727977
Disillusioned Left,34.04696673189824,0.020240163743811924
Disillusioned Left,34.20743639921722,0.020335527966227084
Disillusioned Left,34.3679060665362,0.020436109920381005
Disillusioned Left,34.528375733855185,0.020541529050118478
Disillusioned Left,34.68884540117417,0.020652498654394773
Disillusioned Left,34.84931506849315,0.020767549570981925
Disillusioned Left,35.00978473581213,0.020885799232936077
Disillusioned Left,35.17025440313112,0.021006899285274345
Disillusioned Left,35.330724070450096,0.021130785786818096
Disillusioned Left,35.49119373776908,0.02125701611865299
Disillusioned Left,35.65166340508806,0.02138461460546062
Disillusioned Left,35.81213307240704,0.021513266680127183
Disillusioned Left,35.97260273972603,0.021642660798432297
Disillusioned Left,36.133072407045006,0.02177234636128655
Disillusioned Left,36.29354207436399,0.021901710552224188
Disillusioned Left,36.454011741682976,0.02203044979924432
Disillusioned Left,36.614481409001954,0.02215825977561445
Disillusioned Left,36.77495107632094,0.022284293394454098
Disillusioned Left,36.935420743639924,0.022408118368436637
Disillusioned Left,37.0958904109589,0.02252961164515952
Disillusioned Left,37.256360078277886,0.022648446978809984
