party,CC24_326a,CC24_326b,CC24_326c,CC24_326d,CC24_321a,CC24_321b,CC24_321c,CC24_323a,CC24_323b,CC24_323c,CC24_323d,CC24_340f,CC24_324a,CC24_324c,CC24_340c,CC24_444a,CC24_444b,CC24_440a,CC24_440b,CC24_441a,CC24_441b,CC24_328c,CC24_328d,CC24_328e,CC24_443_1,CC24_341b,CC24_341c,CC24_420_5,CC24_420_6,newsint,pew_religimp,pew_churatd,pew_bornagain
Disengaged Center-Left,1.206353587911849,1.1349667516246118,1.3334113247069088,1.417278956149882,1.2877419358959294,1.6849288707539212,1.0301744768805061,1.2968879914204203,1.132982385242159,1.4081838749107192,1.2092960068296488,1.2593928346966157,1.296123424530043,1.9073807700839414,1.3047199654209978,1.4156491442728454,1.2554091639473528,3.071493316494822,3.827823541493925,2.0086570894670515,3.9375042790632877,1.4278762833271756,1.6794745660231214,1.1398162252779838,2.9233447634780925,1.2781669908057298,1.1742812042325728,1.3780081445374206,1.61963848819897,2.3673898602070342,2.2094275618135923,5.0487656781949575,1.735544197609088
MAGA Right,1.8081386485296955,1.7583895482783172,1.8761249764772336,1.103614068293913,1.7841685438363601,1.2952662425233024,1.137556443231227,1.7779146714469962,1.0428889730674307,1.052714975359697,1.5886699812689167,1.0730600505345949,1.8888629451691703,1.6936404693572944,1.7651610321297189,1.143362874557168,1.079776168283852,4.110577249259623,2.457006232143599,1.641997184856665,4.209901767476737,1.2745690326933548,1.2306981201570841,1.4861028160892826,3.7994875358124474,1.7987867942422122,1.700412511172415,1.3076178521984425,1.7871989988257777,1.5679076907633844,1.133643394086126,1.8763538756554659,1.2822671988180803
Moderate Dems,1.2032221128994087,1.1605630431001623,1.299764397635337,1.4203425545522899,1.248648891865109,1.7185452927425429,1.043344806177548,1.2345846047926647,1.2111980707283931,1.52430413703447,1.1410177020059973,1.401684673435317,1.438204284856245,1.8032065070509005,1.4582487102779174,1.3434263737969445,1.3077330431404675,2.031615532480842,3.7577433907689257,2.8549172480213096,2.241636795639364,1.4044663934889565,1.683276598251108,1.1075196230316162,2.4392850442205503,1.3534366052331634,1.2293208535995044,1.3312103262465194,1.5235127711943663,2.1582851734758375,1.2015087107374913,2.0352160587492567,1.3619932380697464
Political Bystanders,1.4568454885618674,1.2637296508165412,1.406949626735421,1.5365083659065213,1.5141268599670457,1.5603877681952942,1.1803946049500686,1.3989935968642275,1.3864918685743,1.5270822216597557,1.3062945772398542,1.5322318143928906,1.3459091413741153,1.811100609202082,1.4629938898690726,1.3612542690171656,1.3181092070009024,2.889088552273009,3.317844969068624,2.53472789728594,3.1469890361874184,1.5335866872628643,1.5302234183428352,1.209067045519488,2.709625467048529,1.60439362592802,1.4674370174658264,1.7053743308931177,1.8270366266151326,6.880343033919687,2.2602157675971895,4.942440840445747,1.7000894507273185
Progressive Left,1.0339261752227784,1.0376690851632648,1.0537265289625033,1.885465108260987,1.085649932529991,1.919902235985431,1.0148730165133264,1.0871529246916372,1.562913805351686,1.9637543766681176,1.0183247742888593,1.8592283458318069,1.0234571673777013,1.9760539257106853,1.0205743917660064,1.7946501908427952,1.8637345990993233,1.2272541295284771,4.702163689560459,4.648522197671397,1.266697209571398,1.794081720703627,1.9644606894095793,1.0181243206380919,1.9311215501928172,1.07174324543189,1.071163175385217,1.2728601691851735,1.298283131074559,1.4860014366612901,3.8127878289259622,5.850498838109868,1.9826545647198754
Racial Justice Conservatives,1.8541923314556246,1.7948914325076446,1.8941085340372616,1.0719527194483602,1.8371537827998694,1.2379533141406762,1.1918913533924866,1.8197173670190487,1.0347721500549705,1.03715582848557,1.7108433984561606,1.0363439597042488,1.788980396009177,1.8761594859512094,1.6350227800501975,1.1280492868479617,1.0728726442464322,4.734922196317516,2.2216241993857784,1.2379352489196316,4.762531397904163,1.2882296152499837,1.1985218168464802,1.5561174835360583,4.125988378759806,1.811182808660552,1.7218945628645388,1.3548110731481298,1.8113572095846275,1.4154306021871703,2.2082113555784475,5.1138814066581455,1.6848073759933668
Religious Progressives,1.0654742256683112,1.0525772367629609,1.1180742412898825,1.7513381921080613,1.0988535613439416,1.8901168467838352,1.0144133280975334,1.1261716011029226,1.3224626690029344,1.8797039607049357,1.0447246256666887,1.7502168671380756,1.0956321016932993,1.9625325776462128,1.0716019032598603,1.6831340673882815,1.6797546785494917,1.2283630668488998,4.732381305498883,4.669634570591524,1.2853277880128302,1.7420280426847123,1.9244364695602574,1.029063554711729,2.024431325401538,1.1320676627860218,1.1111476854009552,1.2418511106066172,1.3529273610087027,1.5136328816004478,1.830451807444401,3.9020652094535695,1.7629225608270216
Secular Moderates,1.1585838630542384,1.1113288829168368,1.2310063224722152,1.6016383234347173,1.2372238579470967,1.7705592632670768,1.0436261722014284,1.2358321288313532,1.2261928251579377,1.7030453975698665,1.1146086570965732,1.449966197647684,1.1390598807613699,1.9424778899813415,1.1400054630514078,1.5063179993044067,1.5193858260630146,1.9594218137485784,3.879045616415153,2.9704649147069966,2.1061778525783246,1.463803085845628,1.8166300886199749,1.0896829938969383,2.725327606774691,1.2506141597333906,1.1992174799884563,1.296576591700197,1.4307294345203576,2.231617027605546,2.9852055841470824,5.377475744846051,1.8724477251598035
Traditional Right,1.7009414942997065,1.604211086895109,1.7659653258300334,1.153596364843769,1.7209113044078936,1.3497955779698334,1.11879119612324,1.697716298147332,1.0714564492647995,1.1093073088946646,1.5250650064238758,1.1250477645997814,1.5177835041685253,1.8863399768799198,1.4088601213903489,1.1780731635310102,1.149555879093585,3.236631883049451,2.459507626514809,2.002451074375824,3.674245704093536,1.4061039071440324,1.377485733876694,1.2763299581554688,3.154936164605413,1.6951588409365863,1.5763130959189402,1.3725188993401491,1.7421142156029734,2.154871205588657,2.3091913316464407,5.190816625238786,1.6966194221631798
